,Date,Constant,Mkt
"169-1",1927-01-24,0.034845865179892285,0.60614405303474983
"170-1",1927-01-25,0.034844292462527134,0.60595140898599986
"171-1",1927-01-26,0.034844908216237112,0.60498885249941392
"172-1",1927-01-27,0.034846687679112129,0.6040989927305348
"173-1",1927-01-28,0.034847231409861096,0.6033513360828644
"174-1",1927-01-29,0.034844080104890006,0.60240929773753615
"175-1",1927-01-31,0.034841719526160851,0.60165704608556281
"176-1",1927-02-01,0.034842876298764799,0.60161023808972625
"177-1",1927-02-02,0.034844974558789613,0.60156033459060754
"178-1",1927-02-03,0.034850315490157185,0.60225673844447103
"179-1",1927-02-04,0.034855203138281263,0.6029278064568484
"180-1",1927-02-05,0.034861234841598733,0.60373805082094933
"181-1",1927-02-07,0.03486690817087508,0.6045695044587247
"182-1",1927-02-08,0.034872118030197387,0.60542076796917399
"183-1",1927-02-09,0.034878127215135092,0.60629831239438881
"184-1",1927-02-10,0.034877873686773066,0.60709349247082756
"185-1",1927-02-11,0.034883274220457242,0.60803739183748018
"186-1",1927-02-14,0.034889770438825143,0.60909296827941584
"187-1",1927-02-15,0.034897256037368173,0.6103079402120074
"188-1",1927-02-16,0.03490533442514758,0.61154240237873525
"189-1",1927-02-17,0.03491163930635733,0.61278852672020023
"190-1",1927-02-18,0.034916799277834323,0.61394430707812431
"191-1",1927-02-19,0.034922291839487696,0.61513508003044026
"192-1",1927-02-21,0.034929597634648826,0.61633181468776721
"193-1",1927-02-23,0.034930969535006635,0.61786021882613307
"194-1",1927-02-24,0.034928099556955083,0.61838445246379992
"195-1",1927-02-25,0.034928955197037211,0.61908017780775881
"196-1",1927-02-26,0.034929757160871176,0.61977219704266884
"197-1",1927-02-28,0.034929163364330704,0.62043209257090814
"198-1",1927-03-01,0.034930012818931863,0.62135297658405431
"199-1",1927-03-02,0.034928174213117842,0.62262738204225188
"200-1",1927-03-03,0.03492702596065847,0.62364302994599363
"201-1",1927-03-04,0.034923874925587566,0.62398701592304107
"202-1",1927-03-05,0.034913136281076881,0.62545362565820917
"203-1",1927-03-07,0.034897254978988886,0.62732603871413717
"204-1",1927-03-08,0.034876845582424577,0.62974930252719097
"205-1",1927-03-09,0.034860468594398446,0.63233166353375314
"206-1",1927-03-10,0.034845201367964942,0.63509281424928199
"207-1",1927-03-11,0.034826934456577543,0.63740028434935525
"208-1",1927-03-12,0.034809125268870811,0.63973333848498293
"209-1",1927-03-14,0.034791625785827979,0.64206231952613313
"210-1",1927-03-15,0.034772540277588901,0.64429743650744153
"211-1",1927-03-16,0.034753379426597092,0.64655261867750302
"212-1",1927-03-17,0.034738291157942046,0.65017359985299894
"213-1",1927-03-18,0.034720423913483893,0.65341082889519553
"214-1",1927-03-19,0.03470285901870742,0.65656952472654828
"215-1",1927-03-21,0.034684562419072168,0.65971859750934281
"216-1",1927-03-22,0.034668882076460496,0.66301390352309875
"217-1",1927-03-23,0.034652797632560357,0.66645004526628748
"218-1",1927-03-24,0.034638104625820579,0.66997310985711911
"219-1",1927-03-25,0.034621718086551387,0.67311754080258268
"220-1",1927-03-26,0.034605780108449474,0.67628556883554558
"221-1",1927-03-28,0.034587558470067871,0.67919831077229764
"222-1",1927-03-29,0.034569313202807886,0.6821070128780472
"223-1",1927-03-30,0.034550831412555723,0.68503360117823175
"224-1",1927-03-31,0.034534043682854364,0.68761485704751479
"225-1",1927-04-01,0.034516840662948668,0.69015515011170447
"226-1",1927-04-02,0.034502499507148801,0.69264839576168236
"227-1",1927-04-04,0.034488042721381548,0.69514468283684028
"228-1",1927-04-05,0.034466515405297125,0.69640887374809279
"229-1",1927-04-06,0.034449390418223626,0.69852705165104512
"230-1",1927-04-07,0.034433021015929537,0.70067255659654859
"231-1",1927-04-08,0.034417527043618154,0.70288714107704653
"232-1",1927-04-09,0.034402163573648087,0.70511502693887418
"233-1",1927-04-11,0.034387494936817885,0.70734976639709857
"234-1",1927-04-12,0.034371541514089873,0.70950424549428681
"235-1",1927-04-13,0.03434762405974072,0.71241808459865796
"236-1",1927-04-14,0.034318024993787374,0.71493963339030853
"237-1",1927-04-16,0.034286397915830873,0.71740117133204473
"238-1",1927-04-18,0.034250461424730309,0.71960766981148505
"239-1",1927-04-19,0.034212751297167138,0.72183166283425071
"240-1",1927-04-20,0.034177416886843712,0.7241962554298903
"241-1",1927-04-21,0.034140807510251912,0.72644766554545825
"242-1",1927-04-22,0.034102562283218084,0.72850545003118561
"243-1",1927-04-23,0.034064371090001419,0.73056447811611847
"244-1",1927-04-25,0.034026749659009689,0.73255419361169838
"245-1",1927-04-26,0.033990201308362764,0.73399351524081469
"246-1",1927-04-27,0.033954921743045409,0.73567479091602372
"247-1",1927-04-28,0.033918204918437493,0.73753563728820093
"248-1",1927-04-29,0.033880059898355928,0.73991771122890715
"249-1",1927-04-30,0.033841798717643687,0.74228145287003455
"250-1",1927-05-02,0.033801909710220103,0.74465054661976826
"251-1",1927-05-03,0.033763026111335109,0.74710889342246922
"252-1",1927-05-04,0.033724530691191003,0.74966168549544354
"253-1",1927-05-05,0.033680719385141542,0.75085119148677315
"254-1",1927-05-06,0.033636578828213651,0.75200822129778599
"255-1",1927-05-07,0.033595344543643345,0.75343280488788655
"256-1",1927-05-09,0.033550024889717249,0.75448128607751608
"257-1",1927-05-10,0.033496167059048468,0.75496831623666694
"258-1",1927-05-11,0.033443905971718813,0.75541859702565817
"259-1",1927-05-12,0.033390242462364668,0.75593343186643103
"260-1",1927-05-13,0.033336051513985103,0.75646734246029423
"261-1",1927-05-14,0.03328211499848311,0.75704224382229524
"262-1",1927-05-16,0.033224452068662626,0.75759264113358193
"263-1",1927-05-17,0.033166235415916193,0.75827412004932304
"264-1",1927-05-18,0.033107802064507218,0.75892211238192375
"265-1",1927-05-19,0.033044070818534131,0.75868174218085105
"266-1",1927-05-20,0.032972254480650394,0.75793629763481307
"267-1",1927-05-21,0.032900108349059778,0.7571442271523916
"268-1",1927-05-23,0.032826154765583621,0.75622141736464932
"269-1",1927-05-24,0.032742834291299157,0.75483664854380239
"270-1",1927-05-25,0.032663722372044193,0.75325815823644304
"271-1",1927-05-26,0.032584750202741812,0.7516870196396187
"272-1",1927-05-27,0.032509543593367114,0.75025206909101505
"273-1",1927-05-28,0.032432456913323957,0.74854513439155745
"274-1",1927-05-31,0.032359527829441202,0.74700223611712968
"275-1",1927-06-01,0.032286271339036755,0.74543242595997083
"276-1",1927-06-02,0.032214613460204156,0.74403080948469991
"277-1",1927-06-03,0.032142973992903605,0.74262967728957219
"278-1",1927-06-04,0.032072909863694293,0.74077274627768674
"279-1",1927-06-06,0.032004971977008967,0.73921642151325329
"280-1",1927-06-07,0.031937765487661689,0.73778273905218961
"281-1",1927-06-08,0.031870749579024762,0.73633088496945698
"282-1",1927-06-09,0.031804242889085226,0.7349259099710308
"283-1",1927-06-10,0.031739289002436728,0.73353114585291501
"284-1",1927-06-11,0.031672247058189787,0.73239726295555418
"285-1",1927-06-14,0.031606170786208511,0.73122845483495758
"286-1",1927-06-15,0.0315395375421735,0.7303361670651608
"287-1",1927-06-16,0.031475704965790441,0.730254207572825
"288-1",1927-06-17,0.031410645362072144,0.72992211987092825
"289-1",1927-06-18,0.031347792480083306,0.72970611935966456
"290-1",1927-06-20,0.031282965858629969,0.72956799201193234
"291-1",1927-06-21,0.03121580701008787,0.72956789040524306
"292-1",1927-06-22,0.03114743845036327,0.72970699753342916
"293-1",1927-06-23,0.0310799586324409,0.72984318257991254
"294-1",1927-06-24,0.031015694750728639,0.72907003531339776
"295-1",1927-06-25,0.030950220392087405,0.72824514921542571
