,Date,Constant,Mkt
"147-1",1964-02-04,0.024241550866510302,1.0924852453055465
"148-1",1964-02-05,0.024243164462202413,1.0929368852515187
"149-1",1964-02-06,0.024244852128813402,1.0933683632437727
"150-1",1964-02-07,0.024246516326564247,1.0937806767077929
"151-1",1964-02-10,0.024248282823413424,1.0943217761034856
"152-1",1964-02-11,0.024250044981555263,1.0948647946035852
"153-1",1964-02-12,0.024251718105858047,1.0953078444290749
"154-1",1964-02-13,0.024253506468533505,1.0958685229460063
"155-1",1964-02-14,0.024255322943435489,1.0964368535539166
"156-1",1964-02-17,0.024256966378838087,1.0970287346620156
"157-1",1964-02-18,0.024258407954859861,1.0976000111275193
"158-1",1964-02-19,0.024259825293824835,1.0981704629333171
"159-1",1964-02-20,0.024261202057886618,1.098725728680505
"160-1",1964-02-24,0.024262499312305248,1.0992566467688418
"161-1",1964-02-25,0.024263804248502413,1.0997901785628288
"162-1",1964-02-26,0.024265091997494898,1.1003213711957081
"163-1",1964-02-27,0.024266191524025735,1.1006732456270205
"164-1",1964-02-28,0.024267246158270608,1.1010663611715006
"165-1",1964-03-02,0.024268276694481613,1.1014422581967771
"166-1",1964-03-03,0.024269034671261742,1.1016141323820015
"167-1",1964-03-04,0.024269803849355759,1.101795915735637
"168-1",1964-03-05,0.024270542659450212,1.101998364358818
"169-1",1964-03-06,0.024271153840531228,1.1022008129819991
"170-1",1964-03-09,0.02427164968550596,1.102277684589414
"171-1",1964-03-10,0.024272002213172841,1.1023496798618047
"172-1",1964-03-11,0.024272345498726554,1.1024128702386606
"173-1",1964-03-12,0.024272794490071838,1.1026199251246727
"174-1",1964-03-13,0.024273261209931885,1.1028378377585579
"175-1",1964-03-16,0.024273540342737616,1.10299830697524
"176-1",1964-03-17,0.024273834290727398,1.1031602884405534
"177-1",1964-03-18,0.024274179064283016,1.1033551271184374
"178-1",1964-03-19,0.024274369321369119,1.1034973919597499
"179-1",1964-03-20,0.024274583920555294,1.1036322026970722
"180-1",1964-03-23,0.024274701469415183,1.1039057021686083
"181-1",1964-03-24,0.024274908522710911,1.1041822470058564
"182-1",1964-03-25,0.024275015695694277,1.1045199630840976
"183-1",1964-03-26,0.024274981752454374,1.1047424445140253
"184-1",1964-03-30,0.024274840341373168,1.1048698552273337
"185-1",1964-03-31,0.024274744294844698,1.1049818307667143
"186-1",1964-04-01,0.024274672248558615,1.1050782908651366
"187-1",1964-04-02,0.024274524403951617,1.1050870643301158
"188-1",1964-04-03,0.024274384233536218,1.1051107212031162
"189-1",1964-04-06,0.024274340110627922,1.1052062739012432
"190-1",1964-04-07,0.024274302289206285,1.1053033274447597
"191-1",1964-04-08,0.024274480208673836,1.1051508030023762
"192-1",1964-04-09,0.024274612283805098,1.1049967187180865
"193-1",1964-04-10,0.02427487661448197,1.1048426344337967
"194-1",1964-04-13,0.024275175701704881,1.1047110192199983
"195-1",1964-04-14,0.024275472568176231,1.1045800084902653
"196-1",1964-04-15,0.024275836649794387,1.104492450348423
"197-1",1964-04-16,0.024276187612771602,1.1043999822638688
"198-1",1964-04-17,0.024276604969294895,1.1043255863677457
"199-1",1964-04-20,0.024277170632193722,1.1044429417694788
"200-1",1964-04-21,0.024277805037313797,1.104543924614799
"201-1",1964-04-22,0.024278430364075426,1.1046452163489611
"202-1",1964-04-23,0.024279076831276111,1.1047429115927576
"203-1",1964-04-24,0.024279851897043826,1.1047705982988985
"204-1",1964-04-27,0.024280753442406312,1.1044669204245707
"205-1",1964-04-28,0.024281740461244136,1.1040061990318077
"206-1",1964-04-29,0.024282760423261298,1.1036172141712397
"207-1",1964-04-30,0.02428399307509671,1.1029387606273584
"208-1",1964-05-01,0.02428525742678837,1.1022333425944031
"209-1",1964-05-04,0.024286643071674736,1.101849828234265
"210-1",1964-05-05,0.02428820203593008,1.1017316855133865
"211-1",1964-05-06,0.024289951085058728,1.1019110519126509
"212-1",1964-05-07,0.024291852158232423,1.1022249053801458
"213-1",1964-05-08,0.024293469275602414,1.1024324820819931
"214-1",1964-05-11,0.024295067906470263,1.1026513807576184
"215-1",1964-05-12,0.024296694266529559,1.1028674489971411
"216-1",1964-05-13,0.024298259561966094,1.1030170305713696
"217-1",1964-05-14,0.024299737441642454,1.1032409696219194
"218-1",1964-05-15,0.024301135701611788,1.1034947081160247
"219-1",1964-05-18,0.024302528452802175,1.1037456350880483
"220-1",1964-05-19,0.02430381836988162,1.1041120259093749
"221-1",1964-05-20,0.024305226584612333,1.1043013146380984
"222-1",1964-05-21,0.024306774546629061,1.1046903077361814
"223-1",1964-05-22,0.024308355879217002,1.1050872488107744
